text,label,stop_words
didnt feel humiliated,sadness,1
go feeling hopeless damned hopeful around someone care awake,sadness,12
im grabbing minute post feel greedy wrong,anger,3
ever feeling nostalgic fireplace know still property,love,11
feeling grouchy,anger,2
ive feeling little burdened lately wasnt sure,sadness,5
ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,surprise,8
feel confused life teenager jaded year old man,fear,9
petronas year feel petronas performed well made huge profit,joy,10
feel romantic,love,2
feel like make suffering seeing mean something,sadness,7
feel running divine experience expect type spiritual encounter,joy,13
think easiest time year feel dissatisfied,anger,6
feel low energy thirsty,sadness,4
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,joy,20
feel reassured anxiety side,joy,6
didnt really feel embarrassed,sadness,2
feel pretty pathetic time,sadness,4
started feeling sentimental doll child began collection vintage barbie doll sixty,sadness,12
feel compromised skeptical value every unit work put,fear,9
feel irritated rejected without anyone anything saying anything,anger,4
feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,fear,25
feeling amused delighted,joy,6
able help chai lifeline support encouragement great feeling glad able help,joy,16
already feel like fucked though dont usually eat morning,anger,9
still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,sadness,33
feel inhibited someone elses kitchen like im painting someone elses picture,sadness,4
become overwhelmed feel defeated,sadness,2
feel kinda appalled feel like need explain wide lenghth body measure etc pp,anger,8
feel superior dead chicken grieving child,joy,3
get giddy feeling elegant perfectly fitted pencil skirt,joy,4
remember feeling acutely distressed day,fear,4
seen heard read past couple day left feeling impressed company,surprise,13
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger,16
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy,23
sure would make feel content anything,joy,6
feeling need creative,joy,6
however want know something someone causing feel less splendid self step away,joy,13
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,anger,15
need need someone need protected feel safe small find season word,joy,16
plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,joy,9
already christmas tree got two feeling festive sure spurring get started book,joy,15
ive worn little concealer day im feeling brave dont want pale perfect,joy,15
feel strongly passionate jerk decides poke make fun u,joy,9
feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,sadness,15
feeling listless need new thing something different,sadness,5
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,joy,40
let go sad feeling want accepted first home mine,love,13
boat trip denmark,joy,3
stopped feeling cold began feeling hot,anger,2
need feel dough make sure perfect,joy,6
found feeling little discouraged morning,sadness,4
feel selfish spoiled,anger,2
stymied little bit wrote feeling unsure might go somewhere story unintended,fear,9
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,joy,11
feel know basically like fake realm science fiction,sadness,6
hate living dad roof give excuse asshole he providing live think feel need make feel unwelcome possible ill leave,sadness,26
keep feeling pleasantly surprised supportiveness also ease new situation,surprise,6
feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,joy,17
feel mom graceful warm loving smile rob time nurture heal,joy,9
feel talk brother law extremely popular one think stiff,joy,14
ate could feel gentle tingle throughout almost feeling healing taking place cellular level,love,10
feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,fear,11
began several time week feeling tortured hallucination moving people figure sound vibration,fear,8
nearly finished week detox feel amazing,surprise,6
feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,anger,22
know pain parent feel enraged child becomes violent,anger,4
roller coaster emotion supposed feeling something unpleasant coming,sadness,10
suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,love,15
feeling brave bought clearly makeup,joy,11
feeling miserable c also proudest mum earth,sadness,7
figure family love u matter around anyone else feel embarrassed michelle go ballistic,sadness,7
necessarily think f bomb sex necessary story feel reassured see print journal,joy,13
feel ovary aching talking like put,sadness,9
feel like much chris mostly took many picture unimportant stuff,sadness,9
im tired book ready finding given unsuitable image feeling blamed result sit well,sadness,20
successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,joy,23
think feeling one nay important thing,joy,7
feel completely honored influence young talented fully alive beautiful girl woman,joy,6
feel angered firey,anger,2
feel like miserable piece garbage,sadness,3
feel like need make list leanne would appalled thought dont miss anything,anger,10
drove dannika school feeling little bit rushed greeted turned corner,anger,13
remember feeling hellip furious shooter,anger,4
feel happy excited since learned many thing,joy,5
feel show around show horse people trusting relaxed show horse safe quiet handled frequently,joy,12
couple thing left make start december done feeling smug,joy,13
think u could make feel realize everything ok,joy,8
feel worthless time struggling finding work,sadness,6
able lay bed dark feel terrified least,fear,14
ready meet mom airport feel ever supportive arm around,love,8
im feeling bitter today mood strange entire day guess,anger,8
mum brother passed away involved car accident bringing present passed form five exam flying colour,sadness,16
letting go animosity towards anyone feel wronged,anger,10
talk dog feel cannot understand word read emotion know supportive decided go home,love,15
feel like throwing away shitty piece shit paper,sadness,3
im starting feel wryly amused banal comedy error life turning,joy,7
find every body beautiful want people feel vital body,joy,6
hear owner feel victimized association association attorney property manager,sadness,8
